Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/26/2026,"POS DEBIT                365 MARKET J 888 432-32   TROY         MI                                                                                                                                                                                                                                                                        1997",-2.05,MISC_DEBIT, ,,
DEBIT,03/26/2026,"POS DEBIT                FRONTIER COMMUNICATION    NORWALK      CT",-111.50,MISC_DEBIT, ,,
DEBIT,03/26/2026,"POS DEBIT                LANDON WINERY - DALLAS   COPPELL       TX                                                                                                                                                                                                                                                                        1997",-21.66,MISC_DEBIT, ,,
DEBIT,03/26/2026,"POS DEBIT                365 MARKET J 888 432-32  TROY          MI                                                                                                                                                                                                                                                                        1997",-3.34,MISC_DEBIT, ,,
DEBIT,03/26/2026,"POS DEBIT                365 MARKET J 888 432-32  TROY          MI                                                                                                                                                                                                                                                                        1997",-2.05,MISC_DEBIT, ,,
DEBIT,03/25/2026,"Amazon Kids+*B55E99L2 888-802-3080 WA        03/25",-6.39,DEBIT_CARD,1207.12,,
DEBIT,03/25/2026,"USAA INSURANCE PAYMEN WWW.USAA.COM TX        03/25",-388.36,DEBIT_CARD,1213.51,,
DEBIT,03/25/2026,"AMAZON MKTPL*BG6KI7Q Amzn.com/bill WA        03/25",-49.98,DEBIT_CARD,1601.87,,
DEBIT,03/25/2026,"365 Market J 888 432-32 TROY MI              03/24",-2.05,DEBIT_CARD,1651.85,,
DEBIT,03/25/2026,"365 Market J 888 432-32 TROY MI              03/24",-2.05,DEBIT_CARD,1653.90,,
DEBIT,03/25/2026,"365 Market J 888 432-32 TROY MI              03/24",-3.34,DEBIT_CARD,1655.95,,
DEBIT,03/24/2026,"Online Transfer to SAV ...6175 transaction#: 28557753228 03/24",-40.00,ACCT_XFER,1659.29,,
DEBIT,03/24/2026,"MARKET STREET 5 COPPELL TX                   03/24",-65.66,DEBIT_CARD,1699.29,,
DEBIT,03/24/2026,"Online Transfer to SAV ...6175 transaction#: 28548943919 03/24",-45.00,ACCT_XFER,1764.95,,
DEBIT,03/24/2026,"MARKET STREET 564 COPPELL TX                 03/23",-39.37,DEBIT_CARD,1809.95,,
DEBIT,03/24/2026,"365 Market J 888 432-32 TROY MI              03/23",-2.05,DEBIT_CARD,1849.32,,
DEBIT,03/24/2026,"365 Market J 888 432-32 TROY MI              03/23",-2.05,DEBIT_CARD,1851.37,,
DEBIT,03/23/2026,"BARCLAYCARD US   CREDITCARD 1392618749      WEB ID: 2510407970",-364.98,ACH_DEBIT,1853.42,,
DEBIT,03/23/2026,"10172 CAVA COPPELL COPPELL TX                03/22",-15.26,DEBIT_CARD,2218.40,,
DEBIT,03/23/2026,"Online Transfer to SAV ...6175 transaction#: 28526644197 03/23",-100.00,ACCT_XFER,2233.66,,
DEBIT,03/23/2026,"Amazon.com*BD9XF3BH0 Amzn.com/bill WA        03/22",-18.26,DEBIT_CARD,2333.66,,
DEBIT,03/23/2026,"THE HOME DEPOT #6572 FLOWER MOUND TX 658821  03/21",-26.56,DEBIT_CARD,2351.92,,
DEBIT,03/23/2026,"SQ *LIBERATION COFFEE C Coppell TX           03/21",-33.00,DEBIT_CARD,2378.48,,
DEBIT,03/23/2026,"VENMO            PAYMENT    1049058522102   WEB ID: 3264681992",-300.00,MISC_DEBIT,2411.48,,
DEBIT,03/20/2026,"SQ *TRIP HOSPITALITY NE Southlake TX         03/19",-25.01,DEBIT_CARD,2711.48,,
DEBIT,03/19/2026,"CITY OF COPPELL  WATERBILL                  PPD ID: 1751183207",-93.88,ACH_DEBIT,2736.49,,
DEBIT,03/19/2026,"IRS              USATAXPYMT 222647813546199 WEB ID: 3387702000",-20339.00,ACH_DEBIT,2830.37,,
DEBIT,03/19/2026,"JPMC-270PARK-HALL NEW YORK NY                03/18",-11.43,DEBIT_CARD,23169.37,,
DEBIT,03/19/2026,"AMAZON MKTPL*BD22865 Amzn.com/bill WA        03/18",-10.81,DEBIT_CARD,23180.80,,
DEBIT,03/18/2026,"HEADSPACE 855-432-3822 CA                    03/18",-41.99,DEBIT_CARD,23191.61,,
CREDIT,03/18/2026,"Online Transfer from SAV ...6175 transaction#: 28475636758",8000.00,ACCT_XFER,23233.60,,
CREDIT,03/18/2026,"SCHWAB BROKERAGE MONEYLINK                  PPD ID: 9005586224",13000.00,ACH_CREDIT,15233.60,,
DEBIT,03/17/2026,"UBER TECHNOLOGIES, INC WILMINGTON DE         03/17",-31.98,DEBIT_CARD,2233.60,,
DEBIT,03/17/2026,"UBER TECHNOLOGIES, INC WILMINGTON DE         03/17",-23.04,DEBIT_CARD,2265.58,,
DEBIT,03/17/2026,"UBER TECHNOLOGIES, INC WILMINGTON DE         03/17",-109.69,DEBIT_CARD,2288.62,,
DEBIT,03/17/2026,"JPMorgan Chase   Ext Trnsfr 28412295250     WEB ID: 9200502231",-2919.75,ACH_DEBIT,2398.31,,
DEBIT,03/17/2026,"K-DOGS - FRISCO FRISCO TX                    03/16",-8.76,DEBIT_CARD,5318.06,,
DEBIT,03/17/2026,"RESORT NAIL SPA COPPELL TX                   03/15",-52.00,DEBIT_CARD,5326.82,,
