Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,03/18/2026,"Online Transfer to CHK ...0951 transaction#: 28475636758 03/18",-8000.00,ACCT_XFER,3988.59,,
CREDIT,03/13/2026,"Online Transfer from CHK ...0951 transaction#: 28412274013",7500.00,ACCT_XFER,11988.59,,
CREDIT,03/05/2026,"INTEREST PAYMENT",0.03,MISC_CREDIT,4488.59,,
CREDIT,02/27/2026,"Online Transfer from CHK ...0951 transaction#: 28222197028",3000.00,ACCT_XFER,4488.56,,
DEBIT,02/26/2026,"Online Transfer to CHK ...0951 transaction#: 28211536271 02/26",-1000.00,ACCT_XFER,1488.56,,
DEBIT,02/18/2026,"Online Transfer to CHK ...0951 transaction#: 28115987450 02/18",-2000.00,ACCT_XFER,2488.56,,
CREDIT,02/05/2026,"INTEREST PAYMENT",0.03,MISC_CREDIT,4488.56,,
DEBIT,01/30/2026,"Online Transfer to CHK ...0951 transaction#: 27875521739 01/30",-1000.00,ACCT_XFER,4488.53,,
CREDIT,01/30/2026,"Online Transfer from CHK ...0951 transaction#: 27875523157",2000.00,ACCT_XFER,5488.53,,
DEBIT,01/20/2026,"Online Transfer to CHK ...0951 transaction#: 27754336282 01/20",-1000.00,ACCT_XFER,3488.53,,
DSLIP,01/16/2026,"REMOTE ONLINE DEPOSIT #          1",992.36,CHECK_DEPOSIT,4488.53,1,
DEBIT,01/14/2026,"Online Transfer to CHK ...0951 transaction#: 27697367183 01/14",-1200.00,ACCT_XFER,3496.17,,
DEBIT,01/13/2026,"Online Transfer to CHK ...0951 transaction#: 27683276138 01/13",-400.00,ACCT_XFER,4696.17,,
DEBIT,01/12/2026,"Online Transfer to CHK ...0951 transaction#: 27670031296 01/12",-500.00,ACCT_XFER,5096.17,,
DEBIT,01/12/2026,"Online Transfer to CHK ...0951 transaction#: 27670011373 01/12",-1000.00,ACCT_XFER,5596.17,,
DEBIT,01/12/2026,"Online Transfer to CHK ...0951 transaction#: 27666291698 01/12",-1000.00,ACCT_XFER,6596.17,,
CREDIT,01/07/2026,"INTEREST PAYMENT",0.05,MISC_CREDIT,7596.17,,
DEBIT,01/05/2026,"Online Transfer to CHK ...0951 transaction#: 27580562831 01/05",-1000.00,ACCT_XFER,7596.12,,
